route_id,route_name,stop_sequence,stop_id,stop_name,lat,lng
R2295902,KattyaniChowk-Sundhara,4,S0066,Bhrikuti Mandap Stop,27.702122,85.318738
R2295902,KattyaniChowk-Sundhara,5,S0102,New Plaza Stop,27.700951,85.322918
R2295902,KattyaniChowk-Sundhara,6,S0196,Anamnagar Stop,27.699488,85.3286
R2295902,KattyaniChowk-Sundhara,7,S0209,Singha Durbar East Stop,27.696608,85.32815
R2295902,KattyaniChowk-Sundhara,8,S0015,Hanumanthan Stop,27.693522,85.327603
R2295902,KattyaniChowk-Sundhara,9,S0033,Bijulibazar Stop,27.692332,85.329615
R2295902,KattyaniChowk-Sundhara,10,S0108,Thapagaun Stop,27.691133,85.334031
R2295902,KattyaniChowk-Sundhara,11,S0075,New Baneshwor West,27.690327,85.335954
R2295902,KattyaniChowk-Sundhara,12,S0069,Naya Baneshwor Tampoo Station,27.688586,85.334689
R2295902,KattyaniChowk-Sundhara,13,S0167,ShivaDarshan Hall Stop,27.692336,85.336217
R2295902,KattyaniChowk-Sundhara,14,S0180,Sangam Chowk Stop,27.693196,85.340502
R2295902,KattyaniChowk-Sundhara,15,S0115,Milan Chowk Stop,27.695169,85.340638
R2295902,KattyaniChowk-Sundhara,16,S0006,KattyaniChowk Stop,27.695366,85.344466
R2295903,Sundhara-Milanchowk-KattyaniChowk,1,S0076,Sundhara Stop,27.700542,85.313503
R2295903,Sundhara-Milanchowk-KattyaniChowk,2,S0100,RNAC stop,27.70221,85.313638
R2295903,Sundhara-Milanchowk-KattyaniChowk,3,S0171,Bir Hospital,27.705723,85.314074
R2295903,Sundhara-Milanchowk-KattyaniChowk,4,S0013,Ratna Park,27.706705,85.315249
R2295903,Sundhara-Milanchowk-KattyaniChowk,5,S0198,Purano Bus Park,27.703654,85.316517
R2295903,Sundhara-Milanchowk-KattyaniChowk,6,S0086,Tourism Board Stop,27.702332,85.3168
R2295903,Sundhara-Milanchowk-KattyaniChowk,7,S0066,Bhrikuti Mandap Stop,27.702122,85.318738
R2295903,Sundhara-Milanchowk-KattyaniChowk,8,S0102,New Plaza Stop,27.700951,85.322918
R2295903,Sundhara-Milanchowk-KattyaniChowk,9,S0196,Anamnagar Stop,27.699488,85.3286
R2295903,Sundhara-Milanchowk-KattyaniChowk,10,S0209,Singha Durbar East Stop,27.696608,85.32815
R2295903,Sundhara-Milanchowk-KattyaniChowk,11,S0015,Hanumanthan Stop,27.693522,85.327603
R2295903,Sundhara-Milanchowk-KattyaniChowk,12,S0033,Bijulibazar Stop,27.692332,85.329615
R2295903,Sundhara-Milanchowk-KattyaniChowk,13,S0108,Thapagaun Stop,27.691133,85.334031
R2295903,Sundhara-Milanchowk-KattyaniChowk,14,S0075,New Baneshwor West,27.690327,85.335954
R2295903,Sundhara-Milanchowk-KattyaniChowk,15,S0069,Naya Baneshwor Tampoo Station,27.688586,85.334689
R2295903,Sundhara-Milanchowk-KattyaniChowk,16,S0167,ShivaDarshan Hall Stop,27.692336,85.336217
R2295903,Sundhara-Milanchowk-KattyaniChowk,17,S0180,Sangam Chowk Stop,27.693196,85.340502
R2295903,Sundhara-Milanchowk-KattyaniChowk,18,S0115,Milan Chowk Stop,27.695169,85.340638
R2295903,Sundhara-Milanchowk-KattyaniChowk,19,S0006,KattyaniChowk Stop,27.695366,85.344466
R2295941,Old Baneshwar-Sundhara,1,S0076,Sundhara Stop,27.700542,85.313503
R2295941,Old Baneshwar-Sundhara,2,S0067,Shahid Gate,27.699685,85.314748
R2295941,Old Baneshwar-Sundhara,3,S0086,Tourism Board Stop,27.702332,85.3168
R2295941,Old Baneshwar-Sundhara,4,S0066,Bhrikuti Mandap Stop,27.702122,85.318738
R2295941,Old Baneshwar-Sundhara,5,S0102,New Plaza Stop,27.700951,85.322918
R2295941,Old Baneshwar-Sundhara,6,S0196,Anamnagar Stop,27.699488,85.3286
R2295941,Old Baneshwar-Sundhara,7,S0209,Singha Durbar East Stop,27.696608,85.32815
R2295941,Old Baneshwar-Sundhara,8,S0015,Hanumanthan Stop,27.693522,85.327603
R2295941,Old Baneshwar-Sundhara,9,S0033,Bijulibazar Stop,27.692332,85.329615
R2295941,Old Baneshwar-Sundhara,10,S0108,Thapagaun Stop,27.691133,85.334031
R2295941,Old Baneshwar-Sundhara,11,S0075,New Baneshwor West,27.690327,85.335954
R2295941,Old Baneshwar-Sundhara,12,S0069,Naya Baneshwor Tampoo Station,27.688586,85.334689
R2295941,Old Baneshwar-Sundhara,13,S0167,ShivaDarshan Hall Stop,27.692336,85.336217
R2295941,Old Baneshwar-Sundhara,14,S0059,SchEMS,27.694334,85.337154
R2295941,Old Baneshwar-Sundhara,15,S0205,Ratna Rajya Stop,27.695667,85.33762
R2295942,Sundhara-Purano Baneshwar,1,S0076,Sundhara Stop,27.700542,85.313503
R2295942,Sundhara-Purano Baneshwar,2,S0100,RNAC stop,27.70221,85.313638
R2295942,Sundhara-Purano Baneshwar,3,S0171,Bir Hospital,27.705723,85.314074
R2295942,Sundhara-Purano Baneshwar,4,S0013,Ratna Park,27.706705,85.315249
R2295942,Sundhara-Purano Baneshwar,5,S0198,Purano Bus Park,27.703654,85.316517
R2295942,Sundhara-Purano Baneshwar,6,S0086,Tourism Board Stop,27.702332,85.3168
R2295942,Sundhara-Purano Baneshwar,7,S0066,Bhrikuti Mandap Stop,27.702122,85.318738
R2295942,Sundhara-Purano Baneshwar,8,S0102,New Plaza Stop,27.700951,85.322918
R2295942,Sundhara-Purano Baneshwar,9,S0196,Anamnagar Stop,27.699488,85.3286
R2295942,Sundhara-Purano Baneshwar,10,S0209,Singha Durbar East Stop,27.696608,85.32815
R2295942,Sundhara-Purano Baneshwar,11,S0015,Hanumanthan Stop,27.693522,85.327603
R2295942,Sundhara-Purano Baneshwar,12,S0033,Bijulibazar Stop,27.692332,85.329615
R2295942,Sundhara-Purano Baneshwar,13,S0108,Thapagaun Stop,27.691133,85.334031
R2295942,Sundhara-Purano Baneshwar,14,S0075,New Baneshwor West,27.690327,85.335954
R2295942,Sundhara-Purano Baneshwar,15,S0069,Naya Baneshwor Tampoo Station,27.688586,85.334689
R2295942,Sundhara-Purano Baneshwar,16,S0167,ShivaDarshan Hall Stop,27.692336,85.336217
R2295942,Sundhara-Purano Baneshwar,17,S0059,SchEMS,27.694334,85.337154
R2295942,Sundhara-Purano Baneshwar,18,S0205,Ratna Rajya Stop,27.695667,85.33762
R2295942,Sundhara-Purano Baneshwar,19,S0077,Apex College Stop,27.69907,85.338327
R2295942,Sundhara-Purano Baneshwar,20,S0046,Tempo Stop Near Old Baneshwar,27.700669,85.339677
R2295974,Purano Bus Park-Nakhipot,1,S0198,Purano Bus Park,27.703654,85.316517
R2295974,Purano Bus Park-Nakhipot,2,S0086,Tourism Board Stop,27.702332,85.3168
R2295974,Purano Bus Park-Nakhipot,3,S0088,Bhadrakali,27.699352,85.317713
R2295974,Purano Bus Park-Nakhipot,4,S0036,Singha Durbar West Stop,27.69659,85.321228
R2295974,Purano Bus Park-Nakhipot,5,S0097,Maitighar,27.693965,85.320962
R2295974,Purano Bus Park-Nakhipot,6,S0132,Maitighar Stop--South,27.694112,85.319308
R2295974,Purano Bus Park-Nakhipot,7,S0185,Thapathali,27.691767,85.318016
R2295974,Purano Bus Park-Nakhipot,8,S0063,Kupondole stop,27.688005,85.316248
R2295974,Purano Bus Park-Nakhipot,9,S0168,Jwagal,27.685593,85.318106
R2295974,Purano Bus Park-Nakhipot,10,S0142,UN Stop,27.678104,85.316327
R2295974,Purano Bus Park-Nakhipot,11,S0116,Damkal,27.675796,85.315747
R2295974,Purano Bus Park-Nakhipot,12,S0103,Jawlakhel Stop,27.672577,85.314174
R2295974,Purano Bus Park-Nakhipot,13,S0213,Kumaripati,27.67084,85.320098
R2295974,Purano Bus Park-Nakhipot,14,S0155,Patan Hospital,27.668489,85.321642
R2295974,Purano Bus Park-Nakhipot,15,S0112,Lagankhel Stop,27.6668,85.3219
R2295974,Purano Bus Park-Nakhipot,16,S0223,Lalitpur Industrial Estate,27.667312,85.322256
R2295974,Purano Bus Park-Nakhipot,17,S0219,Lagankhel,27.662461,85.323946
R2295974,Purano Bus Park-Nakhipot,18,S0194,Batuk Bhairav,27.664475,85.324003
R2295974,Purano Bus Park-Nakhipot,19,S0011,Satdobato Chowk Stop,27.6656,85.3283
R2295974,Purano Bus Park-Nakhipot,20,S0216,Thecho,27.6153,85.319176
R2295974,Purano Bus Park-Nakhipot,21,S0060,Chapagaun,27.592941,85.324403
R2295974,Purano Bus Park-Nakhipot,22,S0269,Tikabhairab Temple,27.5746276,85.3128817
R2295986,Sundhara-Shankhamul,1,S0018,Sankhamul Stop,27.681128,85.331587
R2295986,Sundhara-Shankhamul,2,S0069,Naya Baneshwor Tampoo Station,27.688586,85.334689
R2295986,Sundhara-Shankhamul,3,S0062,Babarmahal Stop East,27.69032,85.328762
R2295986,Sundhara-Shankhamul,4,S0034,Buddhanagar Stop,27.68933,85.331039
R2295986,Sundhara-Shankhamul,5,S0028,Babarmahal,27.692579,85.323905
R2295986,Sundhara-Shankhamul,6,S0099,Babarmahal Stop West,27.692337,85.3244
R2295986,Sundhara-Shankhamul,7,S0097,Maitighar,27.693965,85.320962
R2295986,Sundhara-Shankhamul,8,S0036,Singha Durbar West Stop,27.69659,85.321228
R2295986,Sundhara-Shankhamul,9,S0088,Bhadrakali,27.699352,85.317713
